name,DR2_desig,RA_J2000,DEC_J2000,D,e_D,Pmem,J,e_J,K,e_K,rprime,e_rprime,G,e_G,BP,RP,binary,Prot,SingleFlagD19,Gaia_desig_EDR3,Gaia_desig_DR2,tail?,G_EDR3,G_DR2,note
2MASS J08345513+2006198,Gaia DR2 664374613981190656,128.729723,20.105513,183.421,2.69,99.3,nan,nan,11.907,0.02,15.535,0.045,15.1607,0.0006,16.3071,14.1313,0,nan,nan,Gaia EDR3 664374613981190656,Gaia DR2 664374613981190656,0,15.170221,15.1606548,nan
2MASS J08345539+2011040,Gaia DR2 664563180225407104,128.730817,20.184462,166.42,0.06,98.5,nan,nan,13.01,0.028,17.9244,0.0063,17.7233,0.0047,18.9952,15.7745,0,nan,nan,Gaia EDR3 664563180225407104,Gaia DR2 664563180225407104,0,17.800592,17.723306,nan
2MASS J08345583+1836354,Gaia DR2 659628602102705792,128.73266,18.60984,163.703,16.355,63.9,nan,nan,14.868,0.082,20.3132,0.0233,19.1531,0.0051,nan,nan,0,nan,nan,Gaia EDR3 659628602102705792,Gaia DR2 659628602102705792,0,19.16642916,19.153064,nan
2MASS J08345600+1619318,Gaia DR2 658041353988480512,128.733338,16.325516,179.361,9.357,999.0,nan,nan,14.096,0.056,19.4261,0.0139,18.4321,0.0025,20.1878,17.0898,0,nan,nan,Gaia EDR3 658041353988480512,Gaia DR2 658041353988480512,0,18.418262,18.432092,nan
2MASS J08345733+1729160,Gaia DR2 658931408652027008,128.738894,17.487801,197.223,15.775,95.4,nan,nan,14.455,0.07,19.5711,0.0147,18.6499,0.0025,20.4135,17.3188,0,nan,nan,Gaia EDR3 658931408652027008,Gaia DR2 658931408652027008,0,18.636286,18.64989,nan
2MASS J08345927+2108373,Gaia DR2 664695087260752384,128.746988,21.143705,185.548,7.855,97.4,nan,nan,13.448,0.033,18.5581,0.009,17.558,0.0009,19.4671,16.2474,0,0.26,XXXXX,Gaia EDR3 664695087260752384,Gaia DR2 664695087260752384,0,17.560566,17.557998,nan
2MASS J08345931+1340506,Gaia DR2 603335397762973568,128.747136,13.680729,199.565,4.424,999.0,nan,nan,12.854,0.027,17.3147,0.005,16.6833,0.0012,18.2872,15.4936,0,nan,nan,Gaia EDR3 603335397762973568,Gaia DR2 603335397762973568,0,16.681732,16.683328,nan
2MASS J08345963+2105492,Gaia DR2 664683130070043136,128.748494,21.097,182.476,5.343,96.7,nan,nan,9.684,0.019,10.895,0.1,10.9926,0.0008,11.3638,10.5228,0,8.173,YY--Y,Gaia EDR3 664683130072400384,Gaia DR2 664683130070043136,0,11.012841,10.99262431,nan
2MASS J08345969+2317592,Gaia DR2 666308929811855744,128.748715,23.299805,192.466,6.947,999.0,nan,nan,13.969,0.038,18.8776,0.0102,17.9574,0.0015,19.7756,16.6629,0,nan,nan,Gaia EDR3 666308929811855744,Gaia DR2 666308929811855744,0,17.9572,17.957393,nan
2MASS J08350378+2049523,Gaia DR2 664670176450527744,128.765757,20.831211,184.823,2.297,999.0,nan,nan,12.359,0.02,15.894,0.109,15.629,0.0005,16.8277,14.5871,0,21.3,XXXXX,Gaia EDR3 664670176450527744,Gaia DR2 664670176450527744,0,15.636432,15.62898732,nan
2MASS J08350623+1849246,Gaia DR2 659729417871499392,128.775993,18.823517,193.363,5.263,99.3,nan,nan,12.952,0.024,17.5433,0.0057,16.7863,0.0013,18.4157,15.5707,0,nan,nan,Gaia EDR3 659729417871499392,Gaia DR2 659729417871499392,0,16.790026,16.7863,nan
2MASS J08350633+1956480,Gaia DR2 662867866437640704,128.776389,19.946667,222.191,17.675,98.0,nan,nan,13.987,0.046,19.5939,0.0169,18.3904,0.0028,19.9622,16.9913,0,nan,nan,Gaia EDR3 662867866437640704,Gaia DR2 662867866437640704,0,18.375536,18.390392,nan
2MASS J08350789+2020232,Gaia DR2 664572594793701376,128.78288,20.339781,199.888,4.641,99.5,nan,nan,12.746,0.02,16.723,0.155,16.3231,0.001,17.7382,15.1795,0,24.41,XXXXX,Gaia EDR3 664572594793701376,Gaia DR2 664572594793701376,0,16.330496,16.323093,nan
2MASS J08350805+1959253,Gaia DR2 662868862869952256,128.783579,19.990372,166.42,0.06,99.3,nan,nan,10.447,0.019,12.861,0.02,12.8716,0.0005,13.5835,12.099,1,12.539,#NAME?,Gaia EDR3 662868862869952256,Gaia DR2 662868862869952256,0,12.91022,12.87162272,nan
2MASS J08351387+2311580,Gaia DR2 666304394326394752,128.807814,23.199451,101.508,1.274,-999.0,nan,nan,12.866,0.022,17.474,0.09,16.7724,0.0008,18.5277,15.5195,0,nan,nan,,,,,,
2MASS J08351477+1916317,Gaia DR2 662750222989808512,128.811569,19.275478,190.021,4.4,99.3,nan,nan,12.073,0.022,16.251,0.09,15.7547,0.0011,17.2036,14.6037,0,nan,nan,Gaia EDR3 662750222989808512,Gaia DR2 662750222989808512,0,15.761663,15.75467384,nan
2MASS J08351521+1922315,Gaia DR2 662786743094868224,128.813405,19.375435,196.336,16.887,98.5,nan,nan,14.324,0.06,19.4843,0.0152,18.5301,0.0024,20.1537,17.2094,0,nan,nan,Gaia EDR3 662786743094868224,Gaia DR2 662786743094868224,0,18.514757,18.530109,nan
2MASS J08351587+1750446,Gaia DR2 659506212714968832,128.816143,17.845741,189.435,9.892,96.1,nan,nan,14.87,0.105,19.859,0.0174,18.8067,0.0023,20.5937,17.4545,0,nan,nan,Gaia EDR3 659506212714968832,Gaia DR2 659506212714968832,0,18.80211916,18.80667,nan
