name,simbad_index,desig_gaia_dr2,desig_2mass,pm_index,absK,absG,apparentK,BP-RP,M/Ms,ra,de,age
JS415,39,Gaia DR2 659415129344636544,2MASS J08411052+1816070,989,5.722170473,9.274370473,11.962,2.4208,0.513941195,08h41m10.52s,18d16m7.0s,0.8
JS430,14,Gaia DR2 661417305659127296,2MASS J08412446+2007495,1020,5.240163527,8.957863527,11.639,2.65,0.590450234,08h41m24.46s,20d7m49.5s,0.8
JS432,5,Gaia DR2 659411796450014464,2MASS J08412417+1814026,1019,5.091244768,8.487944768,11.455,2.1701,0.616436154,08h41m24.18s,18d14m2.7s,0.8
JS452,15,Gaia DR2 661222073627319296,2MASS J08414388+1918082,1071,5.330935634,8.411035634,11.635,2.0171,0.576041963,08h41m43.88s,19d18m8.2s,0.8
JS468,52,Gaia DR2 661347727189029504,2MASS J08415935+1944452,1101,5.526693734,8.861693734,11.889,2.2561,0.544969249,08h41m59.35s,19d44m45.1s,0.8
JS488,28,Gaia DR2 660928259206807808,2MASS J08423205+1835281,1142,5.482091845,8.792391845,11.79,2.2025,0.552048914,08h42m32.05s,18d35m28.1s,0.8
JS505,23,Gaia DR2 660986297100929792,2MASS J08424968+1851351,1169,5.435986945,8.794286945,11.737,2.2509,0.559367152,08h42m49.68s,18d51m35.1s,0.8
JS513,47,Gaia DR2 661231625634645504,2MASS J08430528+1927546,1190,5.195448641,8.215648641,11.546,1.978,0.597547835,08h43m5.28s,19d27m54.6s,0.8
JS533,45,Gaia DR2 661460083533415040,2MASS J08432501+2033552,1228,5.046022547,8.055622547,11.402,1.9217,0.624810639,08h43m25.01s,20d33m55.3s,0.8
JS541,29,Gaia DR2 661011929465731456,2MASS J08433536+1900141,1240,5.680972412,9.393572412,11.787,2.6736,0.52048057,08h43m35.35s,19d0m14.1s,0.8
JS545,0,Gaia DR2 664873173784204160,2MASS J08434474+2112343,1253,5.126299805,8.220199805,11.408,2.0045,0.609944481,08h43m44.73s,21d12m34.3s,0.8
JS550,37,Gaia DR2 661018835773136512,2MASS J08434473+1903588,1252,5.561796249,8.873896249,11.871,2.2051,0.539397421,08h43m44.73s,19d3m58.7s,0.8
JS552,9,Gaia DR2 661441494914973184,2MASS J08435085+2021567,1260,5.31854894,8.55954894,11.511,2.1083,0.578008105,08h43m50.85s,20d21m56.7s,0.8
JS582,11,Gaia DR2 660158674082552320,2MASS J08445643+1822171,1315,5.30752631,8.67262631,11.601,2.2256,0.579757729,08h44m56.43s,18d22m17.0s,0.8
JS620,54,Gaia DR2 661150124333238656,2MASS J08461010+1931438,1385,5.017744387,8.040444387,11.372,1.9136,0.630047336,08h46m10.1s,19d31m43.8s,0.8
JS649,53,Gaia DR2 660328239391298176,2MASS J08473468+1908179,1439,5.354956025,8.867156025,11.406,2.2777,0.572229202,08h47m34.68s,19d8m17.8s,0.8
JS689,35,Gaia DR2 662776439470251136,2MASS J08361429+1925303,419,5.532056591,9.266256591,11.907,2.7314,0.544118001,08h36m14.28s,19d25m30.3s,0.8
KW564,20,Gaia DR2 664320497393421952,2MASS J08391453+2001191,723,5.356478462,8.678178462,11.716,2.1771,0.571987546,08h39m14.53s,20d1m19.2s,0.8
KW569,3,Gaia DR2 661314570042801280,2MASS J08393715+1948580,778,5.044561394,8.128961394,11.386,1.9468,0.625081223,08h39m37.15s,19d48m58.0s,0.8
