2MASS J08492676+1831195
2MASS J08371261+2032414
2MASS J08393715+1948580
2MASS J08372845+2036286
2MASS J08412417+1814026
2MASS J08491651+2135121
2MASS J08394656+1913041
2MASS J08401982+1855382
2MASS J08435085+2021567
2MASS J08395128+2034499
2MASS J08445643+1822171
2MASS J08393704+1747198
2MASS J08405382+1922440
2MASS J08412446+2007495
2MASS J08414388+1918082
2MASS J08382537+1856300
2MASS J08452630+1947040
2MASS J08335077+1946586
2MASS J08361143+1952403
2MASS J08391453+2001191
2MASS J08402823+1856090
2MASS J08324481+1802101
2MASS J08424968+1851351
2MASS J08481476+2233323
2MASS J08371990+1903119
2MASS J08373242+1931180
2MASS J08401146+2004032
2MASS J08423205+1835281
2MASS J08433536+1900141
2MASS J08361590+2007129
2MASS J08374982+1930508
2MASS J08382772+1945556
2MASS J08484913+2013271
2MASS J08330845+2026372
2MASS J08361429+1925303
2MASS J08364895+1918593
2MASS J08434473+1903588
2MASS J08384393+1917383
2MASS J08411052+1816070
2MASS J08373505+2013265
2MASS J08374912+1715180
2MASS J08393645+1929079
2MASS J08403789+2020178
2MASS J08410532+2028245
2MASS J08432501+2033552
2MASS J08372419+1925012
2MASS J08430528+1927546
2MASS J08483271+1656236
2MASS J08305892+1841410
2MASS J08361553+2041098
2MASS J08252503+2013177
2MASS J08415935+1944452
2MASS J08473468+1908179
2MASS J08461010+1931438
2MASS J08402217+1807248
2MASS J08312987+2024374
